name,size,percent_used,index_scans,seq_scans,unused
public.fixture_labor_defaults_pkey,16 kB,0%,0,0,t
public.email_templates_template_type_key,16 kB,0%,0,0,t
public.material_template_items_pkey,16 kB,0%,0,0,t
public.idx_recurring_job_report_schedules_enabled,16 kB,0%,0,0,t
public.service_types_pkey,16 kB,100%,258,0,f
public.mercury_accounting_label_suggestions_one_pending_per_tx_uidx,16 kB,100%,1455,0,f
public.recurring_job_report_dispatch_log_pkey,16 kB,0%,0,0,t
public.checklist_tech_tree_task_assignees_pkey,16 kB,100%,89,0,f
public.idx_cost_estimates_po_rough_in,16 kB,100%,1,0,f
public.idx_job_collect_payment_flows_status,16 kB,0%,0,0,t
public.idx_supply_house_invoices_due_date,16 kB,0%,0,0,t
public.vehicle_replacement_value_entries_pkey,16 kB,0%,0,0,t
public.user_prospect_copy_templates_pkey,16 kB,100%,11,0,f
public.vehicles_pkey,16 kB,100%,15,0,f
public.idx_takeoff_book_entries_fixture_name,16 kB,0%,0,0,t
public.idx_person_offsets_pay_stub_id,16 kB,100%,2,0,f
public.idx_bids_customer_id,16 kB,100%,413,0,f
public.contract_template_documents_pkey,16 kB,100%,2,0,f
public.idx_cost_estimates_po_top_out,16 kB,100%,1,0,f
public.idx_purchase_order_items_part_id,16 kB,0%,0,0,t
public.idx_user_dashboard_goals_user_id,16 kB,0%,0,0,t
public.checklist_tech_tree_roadmap_members_user_id_idx,16 kB,0%,0,0,t
public.team_leader_clock_notify_prefs_pkey,16 kB,0%,0,0,t
public.master_superintendents_pkey,16 kB,100%,541627,0,f
public.idx_assembly_types_sequence_order,16 kB,0%,0,0,t
public.project_workflow_step_actions_pkey,16 kB,0%,0,0,t
public.idx_bids_service_type_id,16 kB,0%,0,0,t
public.common_jobs_pkey,16 kB,0%,0,0,t
public.idx_vehicle_possessions_user_id,16 kB,100%,52,0,f
public.hours_reviewed_pkey,16 kB,0%,0,0,t
public.idx_report_templates_sequence,16 kB,100%,206,0,f
public.idx_takeoff_book_versions_service_type_id,16 kB,0%,0,0,t
public.idx_job_book_entries_service_type_sequence,16 kB,0%,0,0,t
public.idx_housing_possessions_housing_id,16 kB,100%,3,0,f
public.idx_user_time_off_user_dates,16 kB,100%,41683,0,f
public.people_labor_job_items_pkey,16 kB,0%,0,0,t
public.idx_person_offsets_person_name,16 kB,100%,77,0,f
public.idx_bids_bid_number,16 kB,0%,0,0,t
public.bids_gc_builders_pkey,16 kB,100%,29088,0,f
public.checklist_tech_tree_roadmap_members_pkey,16 kB,100%,206,0,f
public.assembly_types_pkey,16 kB,100%,11028,0,f
public.master_primaries_pkey,16 kB,100%,554824,0,f
public.assembly_types_service_type_name_unique,16 kB,0%,0,0,t
public.contract_templates_pkey,16 kB,100%,2,0,f
public.user_time_off_pkey,16 kB,0%,0,0,t
public.idx_contract_templates_sequence,16 kB,100%,18,0,f
public.bid_working_board_columns_user_system_key_unique,16 kB,100%,311,0,f
public.housing_possessions_pkey,16 kB,0%,0,0,t
public.mercury_transaction_job_allocations_job_id_idx,16 kB,100%,793,0,f
public.idx_price_book_entries_fixture_type_id,16 kB,0%,0,0,t
public.idx_user_labels_user_id,16 kB,0%,0,0,t
public.idx_takeoff_book_entry_items_entry_id,16 kB,0%,0,0,t
public.bids_working_board_archived_at_partial,16 kB,0%,0,0,t
public.mercury_accounting_label_rules_label_id_idx,16 kB,0%,0,0,t
public.jobs_tally_parts_pkey,16 kB,0%,0,0,t
public.idx_workflow_projections_workflow_id,16 kB,0%,0,0,t
public.mercury_tally_transaction_notes_user_id_idx,16 kB,0%,0,0,t
public.customer_contact_persons_pkey,16 kB,0%,0,0,t
public.master_shares_pkey,16 kB,100%,261769,0,f
public.email_templates_pkey,16 kB,0%,0,0,t
public.idx_supply_house_invoices_is_paid,16 kB,0%,0,0,t
public.idx_people_crew_jobs_person,16 kB,100%,1,0,f
public.idx_hours_days_correct_work_date,16 kB,100%,8781,0,f
public.idx_bids_estimator_id,16 kB,0%,0,0,t
public.person_contract_documents_pkey,16 kB,100%,8,0,f
public.idx_price_book_entries_version_id,16 kB,100%,17,0,f
public.idx_people_crew_bids_person_id,16 kB,100%,1,0,f
public.report_enabled_users_pkey,16 kB,100%,3376,0,f
public.idx_cost_estimates_po_trim_set,16 kB,100%,1,0,f
public.idx_purchase_order_items_price_confirmed_at,16 kB,0%,0,0,t
public.jobs_ledger_thread_notes_pkey,16 kB,0%,0,0,t
public.idx_reports_created_by,16 kB,100%,63026,0,f
public.idx_dispatch_request_notes_request_created,16 kB,100%,1249,0,f
public.team_feedback_submissions_pkey,16 kB,0%,0,0,t
public.idx_workflow_projections_sequence_order,16 kB,0%,0,0,t
public.idx_team_feedback_peer_ratings_peer,16 kB,0%,0,0,t
public.idx_clock_sessions_salary_unique_split,16 kB,100%,10511,0,f
public.idx_jobs_ledger_thread_notes_job_created,16 kB,100%,27165,0,f
public.idx_jobs_tally_parts_job_id,16 kB,0%,0,0,t
public.cost_estimates_pkey,16 kB,100%,29319,0,f
public.idx_people_crew_jobs_work_date,16 kB,100%,7763,0,f
public.app_settings_pkey,16 kB,100%,26823,0,f
public.idx_material_po_generator_entries_created_at,16 kB,0%,0,0,t
public.material_po_generator_entries_pkey,16 kB,0%,0,0,t
public.estimator_request_dismissals_pkey,16 kB,100%,1179,0,f
public.idx_purchase_orders_status,16 kB,0%,0,0,t
public.estimator_request_notes_pkey,16 kB,0%,0,0,t
public.idx_bids_created_by,16 kB,0%,0,0,t
public.idx_vehicle_possessions_dates,16 kB,100%,11,0,f
public.idx_people_labor_jobs_master_user_id,16 kB,0%,0,0,t
public.idx_master_shares_viewing_master_id,16 kB,100%,169,0,f
public.idx_team_feedback_submissions_cycle,16 kB,0%,0,0,t
public.team_leader_clock_notify_prefs_assignment_unique,16 kB,100%,4,0,f
public.idx_inspection_types_sequence,16 kB,0%,0,0,t
public.idx_estimate_catalog_items_sort_live,16 kB,100%,152,0,f
public.job_book_entries_pkey,16 kB,0%,0,0,t
public.idx_team_leader_assignments_leader,16 kB,100%,4033,0,f
public.housing_units_pkey,16 kB,100%,8,0,f
public.part_types_service_type_id_name_key,16 kB,0%,0,0,t
public.mercury_tally_transaction_notes_tx_user_unique,16 kB,100%,14572,0,f
public.jobs_ledger_invoices_pkey,16 kB,100%,220,0,f
public.idx_person_contract_documents_public_token_hash,16 kB,100%,8,0,f
public.idx_projects_master_user_id,16 kB,0%,0,0,t
public.material_po_generator_entries_po_code_unique,16 kB,0%,0,0,t
public.mercury_accounting_label_rules_pkey,16 kB,100%,1730,0,f
public.attendance_incidents_pkey,16 kB,0%,0,0,t
public.checklist_tech_tree_edges_from_idx,16 kB,0%,0,0,t
public.notification_templates_template_type_key,16 kB,0%,0,0,t
public.estimates_master_status_updated,16 kB,0%,0,0,t
public.idx_people_hours_display_order_person_id,16 kB,0%,0,0,t
public.prospect_callbacks_pkey,16 kB,0%,0,0,t
public.idx_inspections_scheduled_date,16 kB,100%,1807,0,f
public.idx_takeoff_book_versions_name,16 kB,0%,0,0,t
public.idx_projects_customer_id,16 kB,0%,0,0,t
public.takeoff_book_versions_pkey,16 kB,0%,0,0,t
public.price_book_versions_pkey,16 kB,0%,0,0,t
public.project_workflow_steps_pkey,16 kB,100%,848,0,f
public.dev_ignored_checklist_items_pkey,16 kB,100%,1437,0,f
public.idx_material_templates_name,16 kB,0%,0,0,t
public.idx_external_team_job_payments_person_id,16 kB,0%,0,0,t
public.team_leader_assignments_pkey,16 kB,100%,8781,0,f
public.quickfill_office_arriving_daily_checks_pkey,16 kB,0%,0,0,t
public.idx_recurring_job_report_recipients_schedule,16 kB,100%,14,0,f
public.idx_workflow_step_line_items_purchase_order_id,16 kB,100%,1,0,f
public.reports_pkey,16 kB,100%,60,0,f
public.idx_master_superintendents_master_id,16 kB,100%,1009,0,f
public.idx_project_workflow_steps_dates,16 kB,0%,0,0,t
public.estimator_group_members_pkey,16 kB,100%,3176,0,f
public.people_hours_person_id_work_date_uniq,16 kB,100%,4,0,f
public.bid_count_row_submission_hides_pkey,16 kB,100%,106,0,f
public.idx_person_contract_documents_status,16 kB,100%,4,0,f
public.idx_labels_master_user_id,16 kB,0%,0,0,t
public.person_offsets_pkey,16 kB,0%,0,0,t
public.labels_pkey,16 kB,0%,0,0,t
public.vehicle_possessions_pkey,16 kB,0%,0,0,t
public.idx_bids_gc_builders_created_by,16 kB,0%,0,0,t
public.idx_jobs_ledger_payments_mercury_transaction_id,16 kB,100%,95266,0,f
public.projects_pkey,16 kB,0%,0,0,t
public.common_jobs_job_id_idx,16 kB,0%,0,0,t
public.quickfill_difficult_people_daily_checks_work_date_idx,16 kB,100%,177,0,f
public.idx_bids_submission_entries_bid_id,16 kB,100%,2743,0,f
public.jobs_ledger_invoices_one_primary_rtb_bundle_per_job,16 kB,0%,0,0,t
public.idx_step_actions_performed_at,16 kB,0%,0,0,t
public.idx_part_types_service_type_id,16 kB,100%,109,0,f
public.idx_jobs_ledger_team_members_user_id,16 kB,100%,11268,0,f
public.idx_pay_stub_deductions_pay_stub_id,16 kB,100%,320,0,f
public.idx_person_contract_assignments_template,16 kB,0%,0,0,t
public.person_license_cost_lines_pkey,16 kB,0%,0,0,t
public.idx_bids_takeoff_rough_part_lines_bid_id,16 kB,100%,2850,0,f
public.supply_house_invoices_pkey,16 kB,100%,39614,0,f
public.idx_master_primaries_master_id,16 kB,100%,27678,0,f
public.person_contract_assignments_person_name_template_id_key,16 kB,0%,0,0,t
public.idx_clock_sessions_user_open,16 kB,100%,17810,0,f
public.idx_people_crew_bids_person,16 kB,100%,1,0,f
public.idx_workflow_step_line_items_sequence_order,16 kB,0%,0,0,t
public.idx_contract_template_documents_template,16 kB,100%,18,0,f
public.idx_bids_takeoff_template_mappings_bid_id,16 kB,100%,1669,0,f
public.quickfill_section_marks_pkey,16 kB,100%,156,0,f
public.idx_counts_fixture_group_items_group_id,16 kB,100%,85,0,f
public.user_prospect_quick_notes_user_id_label_key,16 kB,0%,0,0,t
public.mercury_debit_card_user_links_pkey,16 kB,100%,2997,0,f
public.idx_recurring_job_report_schedules_master,16 kB,0%,0,0,t
public.idx_jobs_ledger_payments_invoice_id,16 kB,100%,1027,0,f
public.people_pay_config_pkey,16 kB,100%,122050,0,f
public.idx_prospect_timer_events_user_id,16 kB,100%,20,0,f
public.user_labels_pkey,16 kB,0%,0,0,t
public.user_dashboard_goals_pkey,16 kB,0%,0,0,t
public.counts_fixture_groups_pkey,16 kB,0%,0,0,t
public.bid_working_board_placements_user_column_position_idx,16 kB,100%,1911,0,f
public.part_types_pkey,16 kB,100%,208,0,f
public.customers_pkey,16 kB,100%,286763,0,f
public.idx_clock_sessions_salary_user_date,16 kB,100%,19304,0,f
public.idx_pay_stubs_person_id,16 kB,100%,1,0,f
public.mercury_transaction_ar_returned_updated_at_idx,16 kB,0%,0,0,t
public.idx_supply_house_invoice_job_allocations_job_id,16 kB,100%,3157,0,f
public.master_assistants_pkey,16 kB,100%,1143193,0,f
public.person_contract_documents_person_lineage_version_key,16 kB,0%,0,0,t
public.hours_reviewed_person_name_start_date_key,16 kB,100%,11,0,f
public.quickfill_difficult_people_items_pkey,16 kB,100%,5,0,f
public.idx_people_crew_jobs_person_id,16 kB,100%,1,0,f
public.labels_master_slug_unique,16 kB,0%,0,0,t
public.notification_history_pkey,16 kB,0%,0,0,t
public.idx_master_shares_sharing_master_id,16 kB,100%,996379,0,f
public.checklist_tech_tree_edges_pkey,16 kB,0%,0,0,t
public.mercury_debit_card_nicknames_pkey,16 kB,0%,0,0,t
public.idx_person_contract_assignments_person,16 kB,0%,0,0,t
public.idx_takeoff_book_entries_version_id,16 kB,0%,0,0,t
public.dev_read_completed_items_pkey,16 kB,100%,1441,0,f
public.prospect_timer_events_pkey,16 kB,0%,0,0,t
public.job_collect_payment_flows_job_id_key,16 kB,100%,168,0,f
public.idx_jobs_ledger_materials_job_id,16 kB,100%,2597,0,f
public.idx_clock_sessions_salary_unique_continuous,16 kB,100%,18720,0,f
public.idx_user_prospect_quick_notes_user_id,16 kB,100%,11,0,f
public.idx_team_feedback_peer_ratings_submission,16 kB,0%,0,0,t
public.user_dashboard_buttons_pkey,16 kB,100%,1923,0,f
public.idx_pay_stub_payments_stub_paid_at,16 kB,100%,275,0,f
public.estimator_requests_pkey,16 kB,100%,3,0,f
public.idx_inspections_job_ledger,16 kB,100%,13,0,f
public.idx_assembly_types_name,16 kB,0%,0,0,t
public.report_templates_pkey,16 kB,100%,161301,0,f
public.idx_people_pay_config_person_id,16 kB,0%,0,0,t
public.idx_master_superintendents_superintendent_id,16 kB,0%,0,0,t
public.bids_takeoff_rough_part_lines_pkey,16 kB,0%,0,0,t
public.salary_work_schedule_templates_pkey,16 kB,100%,43872,0,f
public.idx_bid_count_row_submission_hides_bid_version,16 kB,100%,1552,0,f
public.idx_purchase_order_items_source_template_id,16 kB,0%,0,0,t
public.team_feedback_peer_ratings_submission_user_unique,16 kB,0%,0,0,t
public.idx_person_offsets_person_id,16 kB,0%,0,0,t
public.idx_person_licenses_person_name,16 kB,0%,0,0,t
public.dispatch_group_members_pkey,16 kB,100%,57585,0,f
public.pay_stub_additional_lines_stub_session_uniq,16 kB,0%,0,0,t
public.idx_bids_takeoff_template_mappings_count_row_id,16 kB,100%,143,0,f
public.idx_stripe_oob_payment_reverts_job_id,16 kB,100%,13,0,f
public.idx_master_assistants_assistant_id,16 kB,100%,26064280,0,f
public.people_labor_jobs_pkey,16 kB,100%,98866,0,f
public.stripe_oob_payment_reverts_pkey,16 kB,0%,0,0,t
public.pay_stub_payments_pkey,16 kB,0%,0,0,t
public.mercury_drag_sort_labels_sort_order_idx,16 kB,100%,48,0,f
public.idx_user_app_activity_daily_activity_date,16 kB,100%,12,0,f
public.idx_estimate_customer_events_estimate_occurred,16 kB,100%,1,0,f
public.idx_jobs_ledger_last_work_date,16 kB,0%,0,0,t
public.mercury_account_nicknames_pkey,16 kB,100%,89,0,f
public.checklist_tech_tree_groups_pkey,16 kB,100%,12,0,f
public.idx_jobs_ledger_service_type_id,16 kB,0%,0,0,t
public.person_contract_assignments_pkey,16 kB,0%,0,0,t
public.checklist_items_pkey,16 kB,100%,2262295,0,f
public.team_leader_assignments_unique_pair,16 kB,0%,0,0,t
public.stripe_webhook_events_received_at_idx,16 kB,0%,0,0,t
public.idx_project_superintendents_superintendent_id,16 kB,0%,0,0,t
public.idx_bids_takeoff_rough_part_lines_source_price_id,16 kB,0%,0,0,t
public.idx_team_leader_clock_notify_prefs_assignment,16 kB,100%,3600,0,f
public.takeoff_book_entry_items_pkey,16 kB,0%,0,0,t
public.idx_report_reads_user_id,16 kB,0%,0,0,t
public.user_app_activity_viewers_pkey,16 kB,100%,48,0,f
public.idx_labor_book_versions_name,16 kB,0%,0,0,t
public.user_pinned_tabs_pkey,16 kB,0%,0,0,t
public.idx_job_book_entries_sequence,16 kB,100%,3,0,f
public.purchase_orders_pkey,16 kB,0%,0,0,t
public.idx_stripe_oob_payment_reverts_invoice_id,16 kB,100%,15,0,f
public.dispatch_requests_pkey,16 kB,100%,8911,0,f
public.estimate_catalog_items_pkey,16 kB,0%,0,0,t
public.idx_reports_project,16 kB,0%,0,0,t
public.labor_book_entries_pkey,16 kB,0%,0,0,t
public.idx_bids_selected_labor_book_version_id,16 kB,0%,0,0,t
public.idx_workflow_step_line_items_supply_house_invoice_id,16 kB,0%,0,0,t
public.idx_counts_fixture_groups_service_type_id,16 kB,100%,89,0,f
public.recurring_job_report_schedules_pkey,16 kB,100%,15,0,f
public.idx_email_templates_type,16 kB,100%,150,0,f
public.service_types_name_key,16 kB,0%,0,0,t
public.idx_person_offsets_occurred_date,16 kB,100%,3,0,f
public.idx_vehicles_year,16 kB,100%,1,0,f
public.mercury_debit_card_user_links_user_id_idx,16 kB,100%,71339,0,f
public.idx_reports_created_at,16 kB,100%,91,0,f
public.idx_jobs_tally_parts_job_fixture,16 kB,0%,0,0,t
public.idx_bids_gc_builders_name,16 kB,0%,0,0,t
public.idx_housing_units_created,16 kB,0%,0,0,t
